"date","type","year","avg_price","size","nb_sold"
"2016-12-25","conventional",2016,1,"small",9255125.2
"2016-12-18","conventional",2016,0.96,"small",9394065.91
"2016-12-11","conventional",2016,0.98,"small",9009996.11
"2016-12-04","conventional",2016,1,"small",11043350.9
"2016-11-27","conventional",2016,1.21,"small",7891487.94
"2016-11-20","conventional",2016,1.27,"small",8531160.52
"2016-11-13","conventional",2016,1.36,"small",8235135.43
"2016-11-06","conventional",2016,1.44,"small",7804252.91
"2016-10-30","conventional",2016,1.43,"small",7100458.82
"2016-10-23","conventional",2016,1.34,"small",7579629.06
"2016-10-16","conventional",2016,1.3,"small",8810664.45
"2016-10-09","conventional",2016,1.27,"small",9552502.48
"2016-10-02","conventional",2016,1.23,"small",9534915.56
"2016-09-25","conventional",2016,1.22,"small",10548061.13
"2016-09-18","conventional",2016,1.15,"small",11337829.1
"2016-09-11","conventional",2016,1.08,"small",12962762.94
"2016-09-04","conventional",2016,1.04,"small",14643465.52
"2016-08-28","conventional",2016,1.09,"small",12561055.5
"2016-08-21","conventional",2016,1.1,"small",12725249.3
"2016-08-14","conventional",2016,1.12,"small",12352932.68
"2016-08-07","conventional",2016,1.15,"small",12197105.36
"2016-07-31","conventional",2016,1.23,"small",10168972.37
"2016-07-24","conventional",2016,1.2,"small",10331314.28
"2016-07-17","conventional",2016,1.15,"small",10320463.27
"2016-07-10","conventional",2016,1.1,"small",11457080.38
"2016-07-03","conventional",2016,1.06,"small",12508937.27
"2016-06-26","conventional",2016,1.04,"small",12189035.17
"2016-06-19","conventional",2016,1.02,"small",13488851.61
"2016-06-12","conventional",2016,1.04,"small",12291686.69
"2016-06-05","conventional",2016,0.97,"small",13808859.16
"2016-05-29","conventional",2016,0.94,"small",13682611.21
"2016-05-22","conventional",2016,0.93,"small",11711999.81
"2016-05-15","conventional",2016,0.89,"small",12447598.49
"2016-05-08","conventional",2016,0.82,"small",14223304.98
"2016-05-01","conventional",2016,0.84,"small",13748944.38
"2016-04-24","conventional",2016,0.87,"small",12913697.19
"2016-04-17","conventional",2016,0.9,"small",11954487.56
