,id,department,job,name
0,19995,Editing,Editor,Stephen E. Rivkin
2,19995,Sound,Sound Designer,Christopher Boyes
4,19995,Production,Casting,Mali Finn
6,19995,Directing,Director,James Cameron
7,19995,Writing,Writer,James Cameron
24,19995,Art,Set Designer,Richard F. Mays
26,19995,Costume & Make-Up,Costume Design,Mayes C. Rubeo
27,19995,Camera,Director of Photography,Mauro Fiore
31,19995,Costume & Make-Up,Hairstylist,Linda DeVetta
35,19995,Crew,Visual Effects Editor,Steve R. Moore
37,19995,Art,Set Designer,Karl J. Martin
41,19995,Crew,Dialect Coach,Carla Meyer
43,19995,Art,Art Direction,Jill Cormack
45,19995,Crew,Motion Capture Artist,Terry Notary
51,19995,Art,Production Design,Robert Stromberg
53,19995,Camera,Steadicam Operator,Roberto De Angelis
54,19995,Costume & Make-Up,Makeup Department Head,Mike Smithson
55,19995,Visual Effects,Visual Effects Producer,Alain Lalanne
57,19995,Crew,Post Production Supervisor,Janace Tashjian
58,19995,Visual Effects,Visual Effects Supervisor,Stephen Rosenbaum
61,19995,Visual Effects,Visual Effects Supervisor,Jonathan Fawkner
63,19995,Costume & Make-Up,Costume Supervisor,Anthony Almaraz
65,19995,Costume & Make-Up,Costume Supervisor,Beth Koenigsberg
70,19995,Crew,Transportation Coordinator,Denny Caira
77,19995,Art,Set Designer,Joseph Hiura
79,19995,Art,Set Designer,Robert Andrew Johnson
81,19995,Art,Construction Coordinator,John Villarino
82,19995,Art,Assistant Art Director,Jeffrey Wisniewski
85,19995,Sound,Supervising Sound Editor,Gwendolyn Yates Whittle
86,19995,Sound,Sound Re-Recording Mixer,William Stein
91,19995,Sound,Sound Effects Editor,Tim Nielsen
92,19995,Crew,CG Supervisor,Michael Mulholland
94,19995,Visual Effects,Visual Effects Supervisor,Edson Williams
99,19995,Production,Production Supervisor,Jennifer Teves
102,19995,Crew,Special Effects Coordinator,Iain Hutton
105,19995,Visual Effects,Visual Effects Producer,Jenny Foster
