,id,vote_average,vote_count
0,19995,7.2,11800.0
1,285,6.9,4500.0
2,206647,6.3,4466.0
3,49026,7.6,9106.0
4,49529,6.1,2124.0
5,559,5.9,3576.0
6,38757,7.4,3330.0
7,99861,7.3,6767.0
8,767,7.4,5293.0
9,209112,5.7,7004.0
10,1452,5.4,1400.0
11,10764,6.1,2965.0
12,58,7.0,5246.0
13,57201,5.9,2311.0
14,49521,6.5,6359.0
15,2454,6.3,1630.0
16,24428,7.4,11776.0
17,1865,6.4,4948.0
18,41154,6.2,4160.0
19,122917,7.1,4760.0
20,1930,6.5,6586.0
21,20662,6.2,1398.0
22,57158,7.6,4524.0
23,2268,5.8,1303.0
24,254,6.6,2337.0
25,597,7.5,7562.0
26,271110,7.1,7241.0
27,44833,5.5,2114.0
28,135397,6.5,8662.0
29,37724,6.9,7604.0
30,558,6.7,4321.0
31,68721,6.8,8806.0
32,12155,6.4,4645.0
33,36668,6.3,3525.0
34,62211,7.0,3528.0
35,8373,6.0,3138.0
36,91314,5.8,3095.0
37,68728,5.7,3530.0
38,102382,6.5,4179.0
39,20526,6.3,2841.0
40,49013,5.8,2033.0
41,44912,5.1,2487.0
42,10193,7.6,4597.0
43,534,5.9,2463.0
44,168259,7.3,4176.0
45,72190,6.7,5560.0
46,127585,7.5,6032.0
47,54138,7.4,4418.0
48,81005,5.5,2598.0
49,64682,7.3,3769.0
50,9543,6.2,2317.0
51,68726,6.7,4794.0
52,38356,6.1,3299.0
53,217,5.7,2495.0
54,105864,6.6,1736.0
55,62177,6.7,4641.0
56,188927,6.6,2568.0
57,10681,7.8,6296.0
58,5174,6.1,783.0
59,14161,5.6,4903.0
60,17979,6.6,1095.0
61,76757,5.2,2768.0
62,258489,5.5,2430.0
63,411,6.7,2629.0
64,246655,6.4,4721.0
65,155,8.2,12002.0
66,14160,7.7,6870.0
67,15512,6.0,1423.0
68,1726,7.4,8776.0
69,44826,7.0,2141.0
70,8487,5.1,1020.0
71,1735,5.2,1387.0
72,297761,5.9,7458.0
73,2698,5.3,1151.0
74,137113,7.6,4858.0
75,9804,5.9,992.0
76,14869,5.6,1962.0
77,150540,8.0,6560.0
78,278927,6.7,2892.0
79,10138,6.6,6849.0
80,58595,5.8,3118.0
81,102651,7.0,4496.0
82,119450,7.3,4410.0
83,79698,4.8,34.0
84,64686,5.9,1326.0
85,100402,7.6,5764.0
86,10192,6.0,1959.0
87,158852,6.2,2846.0
88,177572,7.8,6135.0
89,82690,7.1,4570.0
90,5255,6.4,1474.0
91,47933,4.9,2491.0
92,10191,7.5,4227.0
93,296,5.9,2143.0
94,118340,7.9,9742.0
95,157336,8.1,10867.0
96,27205,8.1,13752.0
97,315011,6.5,143.0
98,49051,7.0,8297.0
99,9799,6.6,3428.0
100,4922,7.3,3292.0
101,49538,7.1,5181.0
102,131634,6.6,3984.0
103,27022,5.8,1470.0
104,503,5.5,583.0
105,241259,6.5,1725.0
106,810,6.0,2278.0
107,68735,6.3,2268.0
108,87101,5.8,3631.0
109,10140,6.2,1514.0
110,676,6.6,1791.0
111,1858,6.6,4040.0
112,1966,5.6,927.0
113,675,7.4,5494.0
114,674,7.5,5608.0
115,8960,6.2,2961.0
116,6479,6.9,4853.0
117,118,6.7,3624.0
118,2062,7.5,4369.0
119,272,7.5,7359.0
120,10527,6.2,1810.0
121,18360,5.9,1971.0
122,2080,6.2,4021.0
123,605,6.4,3096.0
124,109445,7.3,5295.0
125,604,6.7,3443.0
126,76338,6.8,4755.0
127,76341,7.2,9427.0
128,13448,6.5,2129.0
129,10195,6.6,6525.0
130,13053,6.3,1750.0
131,19585,5.1,510.0
132,57165,5.5,1431.0
133,62213,5.7,2320.0
134,177677,7.1,3224.0
135,7978,5.5,549.0
136,5559,5.7,1171.0
137,49444,6.7,1880.0
138,10196,4.7,1151.0
139,956,6.5,2028.0
140,117251,6.4,1891.0
141,50321,5.5,199.0
142,11619,6.0,874.0
143,266647,5.9,954.0
144,82703,6.7,843.0
145,652,6.9,2759.0
146,80321,6.4,1808.0
147,36669,5.8,1092.0
148,43074,5.3,2142.0
149,95,6.4,2482.0
150,608,6.0,3114.0
151,2310,5.5,841.0
152,140300,6.7,1603.0
153,56292,6.8,3972.0
154,81188,7.1,1922.0
155,7552,5.9,627.0
156,616,7.3,1895.0
157,147441,5.6,1921.0
158,13475,7.4,4518.0
159,557,6.8,5265.0
160,82702,7.6,3106.0
161,205584,5.3,1277.0
162,10048,4.9,331.0
163,13183,7.0,2811.0
164,944,6.3,767.0
165,1927,5.3,1533.0
166,72559,5.4,3025.0
167,7364,5.7,434.0
168,2114,5.9,433.0
169,1771,6.6,7047.0
170,36643,6.0,862.0
171,8619,6.9,790.0
172,50620,6.1,2553.0
173,65759,5.8,373.0
174,1724,6.1,3021.0
175,267935,6.0,1000.0
176,281957,7.3,6396.0
177,77950,6.1,1074.0
178,44896,6.6,2051.0
179,270946,6.5,1346.0
180,2503,7.3,2888.0
181,9502,6.9,3145.0
182,102899,7.0,5880.0
183,101299,7.4,6495.0
184,228161,6.8,1519.0
185,74,6.2,2322.0
186,8961,6.3,1564.0
187,417859,6.4,451.0
188,27576,6.2,2093.0
189,86834,5.6,2350.0
190,17578,6.7,2061.0
191,673,7.7,5877.0
192,6972,6.3,694.0
193,82700,5.0,2532.0
194,10567,6.2,542.0
195,181533,6.1,1851.0
196,38055,6.7,1918.0
197,671,7.5,7006.0
198,49524,5.4,1260.0
199,22,7.5,6985.0
200,131631,6.6,5584.0
201,591,6.5,2704.0
202,172385,6.3,978.0
203,36658,6.8,3506.0
204,51497,7.1,2438.0
205,58574,7.0,3886.0
206,18823,5.6,2233.0
207,861,7.1,1710.0
208,1911,6.4,510.0
209,49040,6.0,2651.0
210,415,4.2,1418.0
211,8871,6.2,1386.0
212,435,6.2,2392.0
213,955,5.9,1928.0
214,2133,6.2,597.0
215,1979,5.4,2589.0
216,87827,7.2,5797.0
217,1250,5.2,1712.0
218,324668,5.9,2341.0
219,9471,5.2,914.0
220,70981,6.3,5080.0
221,10996,5.4,613.0
222,68724,6.4,3439.0
223,2789,6.3,1570.0
224,97020,5.7,2342.0
225,7459,5.7,354.0
226,42888,4.9,223.0
227,37834,5.9,1547.0
228,75612,6.4,4800.0
229,1895,7.1,4116.0
230,1894,6.4,3992.0
231,585,7.5,5996.0
232,76170,6.3,4053.0
233,1893,6.3,4432.0
234,49519,6.8,2399.0
235,2395,5.0,471.0
236,12100,5.8,341.0
237,290595,6.0,1523.0
238,98566,5.8,2636.0
239,49047,7.3,5751.0
240,9619,5.7,428.0
241,308531,5.8,963.0
242,166424,4.4,2278.0
243,1593,6.3,2862.0
244,254128,6.0,2968.0
245,714,6.0,925.0
246,2024,6.8,1099.0
247,163,6.4,2124.0
248,787,6.5,2965.0
249,262500,6.2,3829.0
250,2567,7.0,1489.0
251,38745,4.9,621.0
252,40805,5.5,1251.0
253,53182,6.1,2397.0
254,41513,5.5,1179.0
255,13700,5.7,389.0
256,262504,5.9,1998.0
257,39254,6.6,2692.0
258,77931,5.5,695.0
259,1639,4.1,434.0
260,80274,6.6,2303.0
261,1571,6.4,2089.0
262,120,8.0,8705.0
263,10204,5.7,672.0
264,8489,6.7,447.0
265,10588,4.9,366.0
266,2048,6.7,3793.0
267,1495,6.6,1157.0
268,10137,5.8,959.0
269,10198,6.7,1247.0
270,286217,7.6,7268.0
271,1635,6.5,1770.0
272,24113,3.7,16.0
273,9679,6.1,1485.0
274,98,7.9,5439.0
275,180,7.1,2608.0
276,672,7.4,5815.0
277,36557,7.3,3855.0
278,869,5.6,1243.0
279,280,7.7,4185.0
280,11322,6.5,1344.0
281,4982,7.4,1502.0
282,36955,6.8,1116.0
283,18487,6.2,954.0
284,39451,5.4,1060.0
285,27581,6.1,1383.0
286,9268,5.6,543.0
287,68718,7.8,10099.0
288,10545,6.8,1129.0
289,11688,7.2,1490.0
290,76163,6.1,2896.0
291,2059,6.4,1926.0
292,2486,4.9,967.0
293,16523,6.4,572.0
294,116711,6.4,1121.0
295,37710,6.0,1699.0
296,9946,5.5,482.0
297,1372,7.3,2281.0
298,106646,7.9,6571.0
299,414,5.2,1498.0
300,563,6.7,1560.0
301,83542,6.6,2977.0
302,41216,6.5,703.0
303,314,4.2,808.0
304,184315,5.6,1680.0
305,9016,7.2,948.0
306,18162,5.3,381.0
307,138103,6.1,1795.0
308,257088,5.5,783.0
309,10214,3.6,338.0
310,205775,6.5,1276.0
311,11692,4.4,142.0
312,22972,6.4,717.0
313,227973,6.5,604.0
314,29193,7.1,73.0
315,1734,6.0,2206.0
316,3131,7.1,1910.0
317,76758,7.1,187.0
318,9408,5.9,601.0
319,9890,5.4,334.0
320,855,7.2,1811.0
321,77953,5.6,578.0
322,18,7.3,3885.0
323,37786,5.4,426.0
324,10501,7.0,858.0
325,57800,6.2,2672.0
326,150689,6.7,2374.0
327,7980,6.6,1065.0
328,12,7.6,6122.0
329,122,8.1,8064.0
330,121,8.0,7487.0
331,68737,5.2,957.0
332,1995,5.7,2192.0
333,157353,5.9,2295.0
334,331,5.7,2077.0
335,61791,7.0,4347.0
336,8204,6.3,572.0
337,47964,5.2,3493.0
338,10733,5.8,106.0
339,9806,7.4,5152.0
340,1408,5.7,136.0
341,32657,6.0,2010.0
342,607,6.9,4412.0
343,863,7.3,3806.0
344,44048,6.3,1165.0
345,5175,6.4,1054.0
346,2655,6.3,488.0
347,22794,6.5,1747.0
348,8355,6.5,2271.0
349,116745,7.0,3144.0
350,4327,5.6,1232.0
351,1422,7.9,4339.0
352,10674,7.6,2008.0
